Ticker          Short Name
EFX UN Equity   EQUIFAX INC
EIX UN Equity   EDISON INTL
EL UN Equity    ESTEE LAUDER
EMC UN Equity   EMC CORP/MA
EMN UN Equity   EASTMAN CHEMICAL
EMR UN Equity   EMERSON ELEC CO
ENDP UW Equity  ENDO INTERNATION
EOG UN Equity   EOG RESOURCES
EQIX UW Equity  EQUINIX INC
EQR UN Equity   EQUITY RESIDENTI
EQT UN Equity   EQT CORP
ES UN Equity    EVERSOURCE ENERG
ESRX UW Equity  EXPRESS SCRIPTS
ESS UN Equity   ESSEX PROPERTY
ESV UN Equity   ENSCO PLC-CL A
ETFC UW Equity  E*TRADE FINANCIA
ETN UN Equity   EATON CORP PLC
ETR UN Equity   ENTERGY CORP
EW UN Equity    EDWARDS LIFE
EXC UN Equity   EXELON CORP
EXPD UW Equity  EXPEDITORS INTL
EXPE UW Equity  EXPEDIA INC
F UN Equity     FORD MOTOR CO
FAST UW Equity  FASTENAL CO
FB UW Equity    FACEBOOK INC-A
FCX UN Equity   FREEPORT-MCMORAN
FDO UN Equity   FAMILY DOLLAR ST
FDX UN Equity   FEDEX CORP
FE UN Equity    FIRSTENERGY CORP
FFIV UW Equity  F5 NETWORKS
FIS UN Equity   FIDELITY NATIONA
FISV UW Equity  FISERV INC
FITB UW Equity  FIFTH THIRD BANC
FLIR UW Equity  FLIR SYSTEMS
FLR UN Equity   FLUOR CORP
FLS UN Equity   FLOWSERVE CORP
FMC UN Equity   FMC CORP
FOSL UW Equity  FOSSIL GROUP INC
FOXA UW Equity  TWENTY-FIRST C-A
FSLR UW Equity  FIRST SOLAR INC
FTI UN Equity   FMC TECHNOLOGIES
FTR UW Equity   FRONTIER COMMUNI
GAS UN Equity   AGL RESOURCES
GCI UN Equity   GANNETT CO
GD UN Equity    GENERAL DYNAMICS
GE UN Equity    GENERAL ELECTRIC
GGP UN Equity   GENERAL GROWTH P
GILD UW Equity  GILEAD SCIENCES
GIS UN Equity   GENERAL MILLS IN
GLW UN Equity   CORNING INC
GM UN Equity    GENERAL MOTORS C
GMCR UW Equity  KEURIG GREEN MOU
GME UN Equity   GAMESTOP CORP-A
GNW UN Equity   GENWORTH FINANCI
GOOG UW Equity  GOOGLE INC-C
GOOGL UW Equity GOOGLE INC-A
GPC UN Equity   GENUINE PARTS CO
GPS UN Equity   GAP INC/THE
GRMN UW Equity  GARMIN LTD
GS UN Equity    GOLDMAN SACHS GP
GT UW Equity    GOODYEAR TIRE
GWW UN Equity   WW GRAINGER INC
HAL UN Equity   HALLIBURTON CO
HAR UN Equity   HARMAN INTL
HAS UW Equity   HASBRO INC
HBAN UW Equity  HUNTINGTON BANC
HBI UN Equity   HANESBRANDS INC
HCA UN Equity   HCA HOLDINGS INC
HCBK UW Equity  HUDSON CITY BNCP
HCN UN Equity   HEALTH CARE REIT
HCP UN Equity   HCP INC
HD UN Equity    HOME DEPOT INC
HES UN Equity   HESS CORP
HIG UN Equity   HARTFORD FINL SV
HOG UN Equity   HARLEY-DAVIDSON
HON UN Equity   HONEYWELL INTL
HOT UN Equity   STARWOOD HOTELS
HP UN Equity    HELMERICH & PAYN
HPQ UN Equity   HEWLETT-PACKARD
HRB UN Equity   H&R BLOCK INC
HRL UN Equity   HORMEL FOODS CRP
HRS UN Equity   HARRIS CORP
HSIC UW Equity  HENRY SCHEIN INC
HSP UN Equity   HOSPIRA INC
HST UN Equity   HOST HOTELS & RE
HSY UN Equity   HERSHEY CO/THE
HUM UN Equity   HUMANA INC
IBM UN Equity   IBM
ICE UN Equity   INTERCONTINENTAL
IFF UN Equity   INTL FLVR & FRAG
INTC UW Equity  INTEL CORP
INTU UW Equity  INTUIT INC
IP UN Equity    INTL PAPER CO
IPG UN Equity   INTERPUBLIC GRP
IR UN Equity    INGERSOLL-RAND
IRM UN Equity   IRON MOUNTAIN
ISRG UW Equity  INTUITIVE SURGIC
ITW UN Equity   ILLINOIS TOOL WO
IVZ UN Equity   INVESCO LTD
JCI UN Equity   JOHNSON CONTROLS
JEC UN Equity   JACOBS ENGIN GRP
JNJ UN Equity   JOHNSON&JOHNSON
JNPR UN Equity  JUNIPER NETWORKS
JOY UN Equity   JOY GLOBAL INC
JPM UN Equity   JPMORGAN CHASE
JWN UN Equity   NORDSTROM INC
K UN Equity     KELLOGG CO
KEY UN Equity   KEYCORP
KIM UN Equity   KIMCO REALTY
KLAC UW Equity  KLA-TENCOR CORP
KMB UN Equity   KIMBERLY-CLARK
